id,age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male,race
228,33,1,7,26,1,0,1,0,1
229,27,1,2,1,1,0,0,1,1
231,20,0,0,0,1,0,1,0,1
232,26,0,0,0,0,1,1,0,0
234,61,1,1,0,1,0,1,0,1
235,52,1,13,1,1,0,0,1,0
236,63,0,1,14,1,0,0,1,0
238,32,1,4,6,1,0,1,0,1
239,29,0,1,0,1,0,0,1,0
241,26,1,2,0,0,1,1,0,1
243,39,0,1,3,0,1,0,1,0
244,30,1,3,530,1,0,1,0,0
245,30,0,1,70,1,0,0,1,1
246,48,0,2,0,0,1,0,1,0
248,22,0,1,0,1,0,0,1,1
249,46,1,6,22,1,0,0,1,0
252,31,0,0,2,1,0,0,1,0
254,25,1,1,1,0,1,0,1,1
257,23,0,0,0,1,0,0,1,0
258,32,0,5,1,1,0,1,0,1
259,52,0,2,3,0,1,0,1,0
260,62,0,8,15,1,0,0,1,1
264,31,1,8,117,1,0,0,1,0
265,28,1,6,0,0,1,0,1,1
266,54,0,2,188,1,0,0,1,0
267,58,0,0,0,1,0,0,1,0
268,78,1,1,0,0,1,0,1,0
269,56,0,0,1,1,0,0,1,0
271,24,0,0,1,1,0,0,1,0
275,22,1,1,0,1,0,0,1,1
277,47,1,23,0,0,1,0,1,1
278,23,1,0,1,0,1,0,1,1
279,57,0,1,19,1,0,0,1,0
281,66,0,3,2,1,0,0,1,1
282,45,1,8,71,0,1,0,1,0
287,37,1,2,0,0,1,0,1,1
288,39,1,0,0,1,0,0,1,0
289,26,1,9,79,1,0,0,1,1
291,45,0,2,358,1,0,0,1,0
293,23,1,0,0,1,0,0,1,1
294,34,0,2,25,0,1,0,1,1
297,23,0,1,0,0,1,1,0,1
298,36,1,2,2,0,1,0,1,0
299,50,0,1,1,1,0,0,1,0
300,37,0,0,0,0,1,1,0,0
301,44,0,4,1,0,1,0,1,0
302,35,1,23,2,1,0,1,0,1
304,24,1,5,0,1,0,0,1,0
306,26,1,2,1,1,0,0,1,1
308,27,0,0,2,0,1,0,1,1
310,28,0,0,29,1,0,1,0,1
313,28,1,7,1,1,0,1,0,0
315,38,0,2,1,1,0,0,1,1
317,28,0,1,38,1,0,1,0,1
319,56,1,7,0,1,0,0,1,0
320,38,0,15,1,1,0,0,1,1
321,28,0,2,0,0,1,0,1,1
326,51,1,0,0,0,1,1,0,0
327,51,0,0,0,0,1,0,1,0
329,36,1,1,1,0,1,0,1,0
330,48,0,0,1,1,0,0,1,1
331,37,1,4,1,1,0,0,1,0
332,30,0,2,2,1,0,1,0,1
333,41,0,5,0,0,1,1,0,1
334,27,1,11,223,1,0,0,1,1
335,37,0,0,1,0,1,0,1,1
336,33,1,4,2,1,0,0,1,0
337,54,0,11,129,1,0,0,1,1
338,23,0,2,71,1,0,0,1,1
344,41,0,0,0,0,1,0,1,1
345,52,0,0,0,1,0,0,1,0
347,43,1,13,51,1,0,0,1,0
348,52,0,0,13,1,0,0,1,1
349,28,0,1,3,1,0,0,1,0
350,30,1,11,1,0,1,0,1,1
351,28,0,1,6,1,0,0,1,0
354,22,0,0,0,1,0,0,1,1
355,30,0,4,-1,1,0,0,1,1
356,25,0,4,1,1,0,0,1,0
357,31,1,0,30,1,0,0,1,0
358,37,1,0,35,1,0,0,1,0
359,32,0,14,1,1,0,0,1,1
361,53,0,1,1,0,1,0,1,0
362,28,1,25,25,1,0,0,1,1
363,44,1,8,4,0,1,0,1,0
364,25,0,0,0,1,0,0,1,1
366,22,1,1,5,0,1,0,1,0
369,37,0,0,1,0,1,1,0,0
372,40,0,3,1,1,0,1,0,0
379,31,0,0,0,0,1,1,0,0
381,23,1,1,1,1,0,0,1,0
382,23,1,5,0,1,0,1,0,0
383,24,0,0,0,0,1,0,1,0
384,29,0,1,0,0,1,0,1,1
385,20,1,1,1,1,0,0,1,1
386,30,1,2,1,1,0,0,1,1
389,39,0,0,0,1,0,0,1,0
390,27,0,4,0,1,0,0,1,1
393,37,0,2,0,1,0,1,0,1
396,20,0,0,2,1,0,0,1,1
398,22,0,0,2,1,0,0,1,0
399,52,0,0,0,1,0,1,0,1
400,23,1,0,3,1,0,1,0,1
402,48,0,0,1,1,0,1,0,1
404,25,0,0,0,1,0,0,1,0
405,27,1,0,1,1,0,0,1,0
406,30,1,11,1,1,0,0,1,1
407,22,1,3,1,0,1,0,1,1
408,22,0,1,0,1,0,1,0,0
411,41,0,2,0,0,1,1,0,1
414,25,0,0,0,1,0,1,0,0
416,52,1,3,24,1,0,0,1,1
417,43,0,0,41,1,0,0,1,1
423,37,0,3,2,1,0,0,1,0
425,70,0,1,12,0,1,0,1,0
428,46,0,3,14,1,0,0,1,0
429,21,1,0,1,0,1,0,1,1
430,26,1,1,1,0,1,0,1,1
431,38,1,3,1,1,0,0,1,0
432,34,0,5,1,0,1,0,1,0
435,34,0,5,0,0,1,0,1,1
437,23,1,0,0,1,0,0,1,0
438,34,1,5,2,1,0,0,1,1
440,39,1,6,2,1,0,0,1,1
441,24,0,0,1,1,0,0,1,0
445,58,0,2,1,1,0,0,1,0
446,21,0,0,0,0,1,1,0,1
451,23,1,4,11,0,1,0,1,1
452,62,0,0,1,1,0,0,1,0
456,37,0,5,10,1,0,0,1,0
457,43,1,2,7,1,0,0,1,0
459,32,0,5,-1,1,0,1,0,1
461,23,0,0,45,1,0,0,1,0
462,27,0,0,0,0,1,0,1,1
463,44,1,0,1,0,1,0,1,0
464,28,1,3,0,0,1,0,1,0
465,42,0,0,1,1,0,1,0,0
467,24,1,9,4,1,0,0,1,0
468,27,0,0,17,1,0,0,1,1
469,20,1,0,0,1,0,0,1,1
474,51,0,0,1,0,1,1,0,0
475,56,0,0,1,0,1,0,1,0
478,29,0,7,1,1,0,0,1,1
480,20,1,0,209,1,0,0,1,1
484,27,0,8,68,1,0,0,1,0
485,24,1,2,19,1,0,0,1,1
487,53,1,36,32,1,0,0,1,0
489,28,1,2,1,0,1,0,1,0
494,21,0,3,22,1,0,0,1,0
495,36,0,0,12,1,0,1,0,1
496,25,1,2,1,0,1,1,0,0
497,23,0,1,0,0,1,1,0,0
499,28,0,1,1,1,0,0,1,0
500,21,1,0,1,1,0,1,0,1
501,36,0,0,0,0,1,0,1,0
502,24,0,0,0,1,0,0,1,1
504,30,1,1,0,1,0,0,1,0
505,29,0,0,1,1,0,0,1,1
509,30,0,0,3,0,1,1,0,0
510,51,0,1,1,0,1,0,1,0
516,32,1,12,1,1,0,0,1,1
517,23,0,1,1,1,0,0,1,1
518,47,0,3,0,1,0,0,1,1
522,37,0,0,19,1,0,0,1,0
523,19,1,2,1,1,0,0,1,1
524,27,0,0,2,0,1,0,1,0
525,39,0,0,0,0,1,0,1,0
526,21,0,0,0,1,0,1,0,0
527,69,0,0,0,0,1,0,1,0
530,21,0,2,2,1,0,0,1,0
531,26,1,6,3,0,1,0,1,1
532,22,0,0,0,1,0,0,1,0
533,23,1,0,0,1,0,1,0,1
537,49,0,3,3,1,0,0,1,1
538,29,0,2,50,0,1,0,1,1
540,60,0,0,0,0,1,1,0,0
542,23,1,3,0,1,0,0,1,1
545,20,0,1,2,1,0,1,0,0
546,36,0,1,95,1,0,0,1,0
547,30,0,0,1,1,0,0,1,0
548,21,0,1,-1,1,0,0,1,1
552,22,1,2,0,0,1,0,1,0
557,21,1,4,219,1,0,0,1,1
558,21,1,0,12,1,0,0,1,1
561,34,0,1,0,0,1,0,1,0
563,50,1,1,0,0,1,1,0,0
565,40,1,0,8,1,0,0,1,0
566,25,1,7,127,1,0,0,1,1
567,53,0,1,0,0,1,1,0,0
569,24,0,0,1,1,0,1,0,1
572,42,0,1,4,1,0,0,1,1
573,28,0,1,1,0,1,0,1,1
576,26,1,6,1,1,0,0,1,1
579,22,1,4,260,1,0,0,1,1
580,21,0,3,5,0,1,0,1,0
581,37,1,23,17,1,0,0,1,1
584,35,0,2,5,1,0,0,1,1
586,53,0,2,0,1,0,0,1,1
588,29,0,7,1,1,0,0,1,1
590,48,1,23,360,1,0,0,1,0
594,52,0,0,0,0,1,1,0,0
597,27,1,12,31,1,0,0,1,1
598,28,0,5,51,1,0,0,1,1
599,33,0,3,0,0,1,0,1,0
600,28,0,0,2,1,0,1,0,0
602,36,1,14,0,1,0,0,1,1
603,29,0,2,1,1,0,0,1,1
604,22,1,0,21,0,1,0,1,1
608,25,0,0,0,1,0,0,1,0
611,56,0,5,12,1,0,0,1,1
612,27,1,9,52,1,0,0,1,1
613,52,1,4,7,1,0,0,1,0
616,32,0,3,1,1,0,0,1,1
617,60,0,4,1,1,0,0,1,0
621,23,0,1,5,0,1,0,1,0
622,39,0,0,0,0,1,1,0,0
623,56,0,0,0,0,1,0,1,0
624,22,0,0,0,1,0,1,0,1
627,53,0,11,110,1,0,0,1,1
628,25,1,0,0,0,1,0,1,0
629,21,0,0,0,0,1,0,1,0
630,22,0,0,1,1,0,0,1,0
633,58,0,2,1,0,1,1,0,0
635,31,1,7,1,0,1,0,1,1
637,22,1,1,0,1,0,0,1,0
638,28,1,8,3,1,0,0,1,1
639,42,0,1,2,1,0,0,1,0
640,20,1,0,0,1,0,0,1,1
641,29,1,0,5,0,1,0,1,0
644,58,1,21,59,0,1,0,1,1
645,22,0,3,106,1,0,0,1,1
646,48,1,1,0,0,1,0,1,0
647,37,0,0,0,1,0,0,1,0
648,57,1,1,25,1,0,0,1,1
649,27,0,3,-1,0,1,0,1,0
651,26,0,3,33,1,0,0,1,1
653,24,1,3,0,1,0,0,1,0
654,33,0,0,1,1,0,0,1,0
656,29,0,2,0,1,0,0,1,1
657,24,1,3,1,1,0,1,0,1
659,19,1,1,32,1,0,0,1,0
660,36,0,2,0,0,1,0,1,0
662,24,0,0,0,1,0,1,0,0
664,34,0,0,0,0,1,0,1,0
668,25,1,2,0,1,0,0,1,0
669,20,1,1,1,1,0,0,1,1
674,24,1,1,1,0,1,0,1,1
675,61,0,4,1,1,0,0,1,0
678,50,0,3,-1,1,0,1,0,1
679,30,0,1,4,0,1,0,1,1
680,38,0,5,1,1,0,0,1,1
681,24,0,0,0,0,1,0,1,0
685,46,1,2,9,1,0,1,0,1
686,41,1,0,3,0,1,0,1,0
687,20,1,0,22,1,0,0,1,0
688,27,1,13,1,0,1,0,1,1
691,26,1,1,13,0,1,0,1,1
692,29,1,3,1,1,0,0,1,1
693,52,1,6,1,1,0,0,1,0
694,28,1,1,4,1,0,0,1,0
697,55,1,5,118,1,0,0,1,1
700,26,1,10,0,1,0,0,1,1
701,28,0,5,1,1,0,0,1,1
703,63,0,2,3,1,0,0,1,0
704,42,0,0,1,1,0,0,1,1
707,23,0,6,0,1,0,0,1,1
708,54,1,28,5,1,0,0,1,1
709,35,1,8,10,1,0,0,1,1
711,24,1,6,26,1,0,1,0,1
712,54,0,2,0,0,1,0,1,1
713,58,1,12,3,0,1,0,1,1
715,23,1,1,0,0,1,0,1,0
716,35,0,1,0,0,1,0,1,1
718,20,1,1,2,1,0,0,1,1
720,51,0,0,35,1,0,0,1,0
721,24,0,0,1,1,0,0,1,0
722,37,0,3,6,1,0,0,1,0
724,47,0,3,0,1,0,0,1,0
726,34,1,4,1,1,0,0,1,0
727,56,0,0,0,1,0,0,1,0
728,34,1,4,31,1,0,0,1,0
729,59,1,1,0,1,0,0,1,0
730,35,0,0,101,1,0,0,1,0
731,58,0,1,10,1,0,0,1,0
732,29,0,2,0,0,1,0,1,0
737,24,1,6,3,1,0,1,0,0
738,21,1,2,8,0,1,0,1,0
740,50,1,5,11,1,0,0,1,0
743,26,0,1,1,1,0,0,1,1
745,30,0,0,1,0,1,1,0,0
752,29,1,0,1,0,1,0,1,0
753,54,0,0,1,0,1,0,1,1
754,29,1,4,8,1,0,0,1,1
756,59,0,0,0,0,1,1,0,0
757,38,0,0,1,1,0,0,1,1
762,27,1,1,1,0,1,0,1,0
763,26,1,7,1,1,0,0,1,0
764,52,0,20,27,1,0,0,1,0
765,66,1,33,13,1,0,0,1,1
769,27,0,2,0,1,0,0,1,0
770,51,0,1,1,0,1,0,1,0
771,35,0,1,74,1,0,0,1,0
775,52,0,4,0,0,1,0,1,0
781,48,0,12,1,1,0,0,1,0
785,26,0,0,1,0,1,1,0,1
786,48,0,0,0,0,1,1,0,0
787,30,0,7,37,0,1,0,1,0
788,28,0,2,1,0,1,0,1,0
789,33,0,2,0,0,1,0,1,1
790,34,0,6,52,1,0,1,0,1
792,25,0,0,-1,0,1,0,1,0
793,59,1,10,127,1,0,0,1,1
794,29,1,5,2,1,0,0,1,1
796,24,0,0,1,1,0,0,1,0
798,48,1,1,129,1,0,0,1,0
803,52,0,4,1,0,1,0,1,1
804,20,1,0,0,1,0,0,1,1
805,25,1,4,5,1,0,0,1,0
806,24,0,0,15,1,0,0,1,0
807,23,0,0,1,0,1,0,1,0
808,27,0,6,1,1,0,0,1,0
810,25,1,1,0,0,1,0,1,1
812,31,0,0,0,1,0,0,1,1
813,25,1,6,4,1,0,0,1,1
814,32,1,1,0,1,0,0,1,0
815,21,1,0,-1,1,0,0,1,0
817,37,0,1,5,1,0,0,1,0
818,25,0,0,0,1,0,0,1,0
820,32,0,20,0,1,0,0,1,0
821,35,0,0,2,1,0,0,1,1
823,42,1,14,1,1,0,0,1,1
825,24,1,9,10,0,1,0,1,0
830,21,1,0,0,1,0,0,1,0
831,47,0,1,0,0,1,0,1,0
835,27,1,5,1,1,0,0,1,1
836,43,1,2,4,0,1,0,1,0
837,46,1,2,0,1,0,0,1,0
838,44,0,1,0,0,1,0,1,1
841,23,0,2,0,1,0,0,1,0
843,42,0,8,1,1,0,0,1,1
844,58,0,6,144,1,0,0,1,1
847,26,0,3,1,1,0,0,1,1
848,48,0,0,17,1,0,1,0,0
849,39,1,3,3,1,0,0,1,1
850,21,1,3,-1,1,0,0,1,1
851,63,0,1,5,0,1,0,1,0
852,22,1,3,7,1,0,0,1,1
853,50,0,3,0,0,1,0,1,1
855,38,0,0,9,1,0,0,1,1
856,41,0,1,6,1,0,0,1,0
857,28,1,16,1,1,0,0,1,1
858,30,0,0,1,0,1,1,0,1
859,23,0,1,0,1,0,0,1,1
861,25,1,2,12,1,0,0,1,0
863,40,0,5,0,1,0,0,1,0
864,24,0,8,-1,1,0,0,1,0
867,27,1,5,64,0,1,0,1,1
869,44,0,11,180,0,1,0,1,0
870,35,1,6,1,1,0,1,0,1
871,42,0,0,0,0,1,0,1,0
872,38,0,15,0,1,0,0,1,1
874,26,0,4,-1,1,0,0,1,0
875,25,0,0,0,0,1,1,0,1
880,64,0,1,7,1,0,0,1,0
881,49,1,2,0,0,1,1,0,0
882,50,1,5,1,1,0,0,1,0
884,66,1,0,0,0,1,0,1,0
886,46,0,0,1,0,1,1,0,0
887,30,1,5,1,1,0,0,1,1
888,22,0,0,-1,0,1,1,0,0
889,23,0,1,9,0,1,0,1,0
890,30,1,0,1,0,1,0,1,0
893,31,0,0,0,0,1,0,1,0
895,31,0,1,0,1,0,0,1,0
899,25,0,0,0,0,1,0,1,1
900,21,0,0,2,1,0,1,0,0
901,27,0,0,1,0,1,0,1,1
904,20,1,0,1,0,1,0,1,0
905,32,0,1,0,1,0,0,1,0
906,24,0,0,0,1,0,1,0,0
909,20,0,1,0,1,0,0,1,1
913,31,1,3,19,0,1,0,1,1
914,27,1,3,6,0,1,0,1,1
916,40,0,0,1,1,0,0,1,1
917,22,1,11,0,1,0,0,1,1
918,38,0,1,0,1,0,1,0,1
919,36,1,1,39,0,1,0,1,0
921,30,0,1,0,0,1,0,1,1
922,27,1,6,34,1,0,0,1,0
924,59,0,0,0,0,1,1,0,0
925,37,0,2,1,0,1,0,1,0
926,28,1,5,1,0,1,0,1,1
927,38,0,0,0,1,0,0,1,0
930,22,1,0,0,1,0,0,1,1
934,25,1,4,31,1,0,0,1,1
935,51,0,0,0,0,1,0,1,0
943,29,1,2,25,0,1,0,1,0
944,28,0,10,0,1,0,0,1,1
946,55,1,9,3,0,1,0,1,1
947,23,0,3,5,1,0,1,0,0
948,22,0,0,7,0,1,1,0,1
949,19,1,2,22,1,0,1,0,0
951,31,0,1,-1,0,1,0,1,1
953,29,0,0,0,0,1,0,1,1
955,61,1,15,1,1,0,0,1,1
958,31,0,0,0,0,1,0,1,0
959,20,1,4,2,1,0,0,1,1
960,26,1,3,1,1,0,0,1,0
962,27,0,5,1,0,1,0,1,0
963,25,0,1,1,1,0,0,1,0
964,23,1,3,9,1,0,0,1,0
965,38,0,0,1,1,0,0,1,1
967,27,1,18,0,1,0,0,1,1
968,35,1,0,-1,1,0,1,0,0
969,22,0,0,16,1,0,0,1,0
971,58,1,4,1,1,0,1,0,1
973,57,1,0,1,0,1,1,0,0
975,21,0,0,0,1,0,0,1,1
977,22,0,0,1,1,0,1,0,1
978,30,0,0,2,1,0,0,1,1
987,30,1,8,1,1,0,0,1,1
988,31,0,10,0,1,0,1,0,1
990,45,0,1,1,1,0,1,0,0
993,39,1,2,4,1,0,0,1,0
995,31,1,0,1,1,0,0,1,1
996,22,1,1,1,1,0,0,1,1
998,27,1,13,2,1,0,0,1,1
999,38,1,1,0,1,0,0,1,0
1000,31,1,23,55,1,0,0,1,1
1001,47,0,20,1,1,0,0,1,1
1002,22,0,3,0,1,0,0,1,1
1003,35,1,1,79,0,1,0,1,1
1004,23,1,2,19,0,1,0,1,0
1005,65,1,2,5,0,1,0,1,1
1006,35,0,0,1,0,1,0,1,1
1007,33,0,0,1,1,0,1,0,1
1008,53,0,1,1,0,1,0,1,0
1009,52,0,0,1,1,0,0,1,0
1014,21,0,0,0,1,0,0,1,1
1015,37,0,11,1,1,0,0,1,1
1016,30,1,4,0,0,1,0,1,0
1020,54,0,0,-1,1,0,0,1,0
1022,31,0,0,-1,0,1,1,0,1
1023,59,0,2,29,1,0,1,0,0
1024,27,0,0,1,0,1,0,1,1
1025,36,1,0,0,0,1,0,1,1
1026,46,1,17,6,1,0,0,1,1
1027,22,0,3,323,1,0,0,1,1
1030,28,0,0,0,0,1,1,0,0
1031,34,1,15,3,1,0,1,0,0
1032,29,1,7,0,1,0,0,1,0
1034,23,1,2,80,0,1,0,1,1
1036,27,0,3,0,1,0,0,1,1
1037,21,1,0,0,1,0,0,1,0
1038,48,1,3,0,1,0,0,1,0
1043,31,0,5,6,1,0,0,1,1
1044,36,0,4,2,0,1,0,1,1
1048,44,1,14,1,1,0,0,1,1
1049,53,0,2,0,1,0,0,1,0
1051,33,1,3,1,0,1,0,1,1
1056,47,1,2,2,1,0,0,1,0
1057,57,1,20,33,1,0,0,1,1
1058,28,0,2,6,0,1,0,1,1
1059,24,0,1,1,0,1,0,1,1
1060,44,0,1,1,1,0,0,1,1
1061,46,0,0,1,1,0,0,1,1
1062,37,0,6,1,1,0,0,1,1
1063,26,1,10,5,0,1,0,1,1
1065,27,1,10,0,1,0,0,1,1
1066,40,0,1,1,1,0,0,1,0
1068,60,1,9,384,1,0,1,0,0
1069,53,0,1,6,1,0,0,1,0
1072,28,0,0,1,1,0,0,1,1
1073,23,0,0,0,0,1,0,1,0
1076,46,0,2,19,1,0,1,0,0
1077,23,1,0,1,1,0,0,1,1
1082,50,1,18,248,1,0,0,1,1
1084,45,0,0,1,0,1,0,1,1
1086,22,0,1,0,1,0,0,1,1
1087,26,1,1,16,1,0,0,1,0
1088,62,0,0,2,1,0,0,1,0
1089,34,1,0,-1,0,1,0,1,0
1092,24,0,1,6,1,0,0,1,0
1093,21,0,0,1,0,1,0,1,0
1094,25,1,0,0,1,0,0,1,0
1096,68,0,0,3,0,1,0,1,0
1099,21,0,1,0,1,0,0,1,0
1101,37,0,1,1,1,0,1,0,0
1103,22,0,0,0,1,0,0,1,1
1106,42,0,1,0,1,0,0,1,0
1107,22,1,1,1,1,0,0,1,0
1109,45,1,0,2,1,0,0,1,1
1110,36,1,4,0,1,0,1,0,1
1111,48,0,2,1,1,0,0,1,1
1119,23,1,6,8,1,0,0,1,1
1120,24,0,0,1,1,0,0,1,1
1121,29,0,0,1,1,0,0,1,1
1122,24,0,0,0,1,0,0,1,1
1123,50,0,11,2,1,0,0,1,1
1125,34,1,10,2,1,0,0,1,1
1127,23,0,0,0,1,0,0,1,1
1128,22,0,0,2,0,1,1,0,0
1129,36,0,0,7,1,0,0,1,0
1130,30,1,22,3,1,0,0,1,0
1131,21,1,0,1,1,0,0,1,1
1132,53,0,0,1,1,0,1,0,0
1136,25,1,7,0,0,1,0,1,1
1138,25,0,1,0,0,1,1,0,1
1140,71,0,8,24,1,0,0,1,1
1141,39,0,10,40,0,1,0,1,1
1142,37,0,0,37,1,0,1,0,1
1143,20,1,0,7,1,0,0,1,1
1144,29,0,3,0,1,0,1,0,1
1145,22,1,2,1,1,0,0,1,1
1146,26,1,4,83,1,0,0,1,1
1150,47,1,19,30,1,0,1,0,1
1151,21,1,1,0,1,0,0,1,0
1152,23,0,0,1,0,1,1,0,0
1153,20,1,1,17,1,0,1,0,0
1156,23,0,0,1,1,0,1,0,1
1157,27,0,3,0,0,1,0,1,0
1159,53,0,0,0,1,0,1,0,1
1160,23,0,0,0,1,0,1,0,1
1162,26,1,5,22,1,0,0,1,1
1163,25,0,6,6,1,0,0,1,1
1165,23,0,2,1,0,1,0,1,0
1166,27,1,4,0,1,0,0,1,1
1169,29,0,1,3,0,1,0,1,1
1170,27,1,1,0,1,0,0,1,0
1171,28,0,0,1,1,0,0,1,0
1172,31,0,0,0,0,1,0,1,1
1173,41,1,8,0,1,0,0,1,1
1176,25,0,0,0,0,1,0,1,0
1177,47,0,0,-1,0,1,0,1,0
1179,37,0,4,1,1,0,0,1,1
1181,35,0,4,2,1,0,1,0,1
1186,24,1,1,1,0,1,0,1,0
1187,21,1,2,5,1,0,0,1,0
1191,22,1,0,2,1,0,0,1,0
1192,57,0,11,140,1,0,0,1,1
1193,48,0,0,11,1,0,0,1,0
1194,36,0,0,5,1,0,0,1,0
1195,37,0,3,28,1,0,1,0,1
1196,31,0,0,5,0,1,0,1,0
1197,22,1,1,4,1,0,0,1,1
1198,31,0,2,0,0,1,0,1,0
1200,24,1,0,0,1,0,0,1,1
1202,32,1,22,0,1,0,0,1,1
1204,23,0,0,1,0,1,1,0,0
1205,63,0,0,0,0,1,0,1,1
1206,30,0,0,1,1,0,0,1,0
1209,20,0,0,1,1,0,0,1,0
1212,24,1,1,0,0,1,1,0,1
1213,36,0,1,0,0,1,1,0,1
1215,83,0,0,0,0,1,0,1,0
1216,28,0,2,0,1,0,0,1,0
1217,36,1,3,1,1,0,0,1,1
1219,33,0,0,1,0,1,1,0,1
1220,39,0,0,0,1,0,0,1,1
1221,29,0,3,0,0,1,0,1,0
